counterparty_id,legal_name,registration_number,country,entity_type,first_seen_date,registered_address,contact_email,contact_phone,bank_account_hash
CPTY00161,Ashford Logistics FZE,SG537440,SG,buyer,2021-03-19,"Unit 5, Free Trade Ave, SG",info161@cpty161.com,+18 151 5766,b98890d96bed5b82
CPTY00162,Crestline Manufacturing Pte Ltd,BR604167,BR,supplier,2023-02-12,"Unit 22, Free Trade Ave, BR",info162@cpty162.com,+26 735 1839,756d99446c50e94d
CPTY00163,Sable Overseas GmbH,PT638350,PT,buyer,2024-03-28,"Unit 31, Commerce Blvd, PT",info163@cpty163.com,+57 989 1837,c4b0465cec34baea
CPTY00164,Highgate Distribution Inc,,EG,supplier,2021-04-22,"Unit 20, Free Trade Ave, EG",info164@cpty164.com,+30 859 5801,a348674da92c6622
CPTY00165,Oakbridge Exports Inc,,SG,supplier,2023-04-08,"Unit 38, Free Trade Ave, SG",info165@cpty165.com,+18 291 7882,fe6a95a5441c2f13
CPTY00166,Rosewood Distribution SA,,ES,supplier,2020-04-22,"Unit 14, Industrial Zone, ES",info166@cpty166.com,+85 424 5264,ca7c81fa14fac2db
CPTY00167,Rosewood Distribution Co,DE842069,DE,buyer,2020-01-18,"Unit 25, Harbour Rd, DE",info167@cpty167.com,+77 259 2856,35eaecd79bc9aa04
CPTY00168,Northfield Freight LLC,,IT,buyer,2020-04-05,"Unit 46, Commerce Blvd, IT",info168@cpty168.com,+76 267 7936,b12801d8a1c2f47e
CPTY00169,Blue Anchor Exports FZE,FR160280,FR,supplier,2024-05-21,"Unit 37, Industrial Zone, FR",info169@cpty169.com,+49 990 1296,5df1f8a242c15295
CPTY00170,Coldwell Imports GmbH,,ZA,buyer,2022-10-06,"Unit 20, Commerce Blvd, ZA",info170@cpty170.com,+93 302 1315,185806d1fe8a929a
CPTY00171,Thornfield Holdings Sdn Bhd,,SA,buyer,2023-10-29,"Unit 6, Industrial Zone, SA",info171@cpty171.com,+71 578 8535,6c01012473f9a6ef
CPTY00172,Redwood Group LLC,EG478455,EG,buyer,2020-02-07,"Unit 25, Commerce Blvd, EG",info172@cpty172.com,+11 172 6104,775176dd3490d643
CPTY00173,Delta Imports FZE,GH622393,GH,agent,2020-02-08,"Unit 16, Commerce Blvd, GH",info173@cpty173.com,+87 464 8176,c867a60540e8d746
CPTY00174,Copperfield Commodities FZE,,GH,supplier,2024-01-13,"Unit 37, Free Trade Ave, GH",info174@cpty174.com,+89 881 5577,20fb72887fbff88a
CPTY00175,Highgate Logistics SA,TH289460,TH,supplier,2020-06-27,"Unit 43, Commerce Blvd, TH",info175@cpty175.com,+69 572 7066,9a9c33f74470ef9b
CPTY00176,Crestline Imports Inc,EG432614,EG,supplier,2020-09-26,"Unit 33, Industrial Zone, EG",info176@cpty176.com,+56 572 4930,bbf5faae3c84aecc
CPTY00177,Oakbridge Group SA,,FR,buyer,2022-06-19,"Unit 35, Industrial Zone, FR",info177@cpty177.com,+64 775 9271,e59db62999020d49
CPTY00178,Sable Logistics SA,NL953538,NL,buyer,2022-11-18,"Unit 15, Industrial Zone, NL",info178@cpty178.com,+61 190 6286,d8004c42f52f961c
CPTY00179,Thornfield Group FZE,,VN,buyer,2021-02-01,"Unit 36, Commerce Blvd, VN",info179@cpty179.com,+31 124 1652,8922dd10e9e035ac
CPTY00180,Greystone Textiles GmbH,MY876292,MY,supplier,2022-02-10,"Unit 4, Industrial Zone, MY",info180@cpty180.com,+58 949 5549,d21bb4ea10494c95
CPTY00181,Brightwater Exports GmbH,,GH,buyer,2023-03-17,"Unit 44, Industrial Zone, GH",info181@cpty181.com,+44 179 7077,8186a70e5c87a2cb
CPTY00182,Meridian Exports Co,PT761487,PT,supplier,2022-02-07,"Unit 12, Free Trade Ave, PT",info182@cpty182.com,+6 856 8346,70a6c629420ecaa9
CPTY00183,Ironwood Commodities Co,US593445,US,supplier,2021-10-26,"Unit 14, Commerce Blvd, US",info183@cpty183.com,+98 355 2455,aacb7824f7edc7dc
CPTY00184,Blue Anchor Exports GmbH,AE125218,AE,buyer,2020-05-04,"Unit 25, Commerce Blvd, AE",info184@cpty184.com,+30 818 2969,15cef28977129cfb
CPTY00185,Brightwater Supplies Sdn Bhd,,QA,supplier,2022-02-23,"Unit 49, Harbour Rd, QA",info185@cpty185.com,+87 238 1439,882976f1ee5deed7
CPTY00186,Elmsworth Textiles SA,,PT,buyer,2023-10-25,"Unit 41, Free Trade Ave, PT",info186@cpty186.com,+22 777 6419,9ee88942b1e9304d
CPTY00187,Marlow Overseas Ltd,UK52988388,GB,agent,2022-12-24,"Unit 5, Commerce Blvd, GB",info187@cpty187.com,+35 689 6836,0d6741a1916ea959
CPTY00188,Larkspur Distribution GmbH,KE926765,KE,supplier,2024-03-30,"Unit 34, Commerce Blvd, KE",info188@cpty188.com,+55 562 1913,4c80a9949a293262
CPTY00189,Ashford Manufacturing Co,GH336985,GH,supplier,2020-08-07,"Unit 4, Free Trade Ave, GH",info189@cpty189.com,+26 574 2216,0e83f9d674e77d62
CPTY00190,Meridian Exports Sdn Bhd,PT338344,PT,buyer,2020-01-20,"Unit 23, Free Trade Ave, PT",info190@cpty190.com,+47 205 8084,e5e73332aeda8260
CPTY00191,Wintercroft Commodities Sdn Bhd,,PL,buyer,2022-08-09,"Unit 17, Commerce Blvd, PL",info191@cpty191.com,+11 183 6739,7e625e58d01ed360
CPTY00192,Larkspur Trading Inc,TH325767,TH,buyer,2020-11-06,"Unit 2, Industrial Zone, TH",info192@cpty192.com,+22 415 3828,13af9af1ce1e881a
CPTY00193,Greystone Industries SA,QA290781,QA,buyer,2022-10-28,"Unit 30, Harbour Rd, QA",info193@cpty193.com,+22 784 7226,51109ce8a68f71b8
CPTY00194,Stonebridge Group Co,MY220407,MY,buyer,2024-04-18,"Unit 48, Commerce Blvd, MY",info194@cpty194.com,+24 717 7420,2135a0ff2d294ab4
CPTY00195,Coldwell Imports SA,,VN,buyer,2021-08-08,"Unit 22, Industrial Zone, VN",info195@cpty195.com,+53 619 9413,153936352202449f
CPTY00196,Silverline Holdings LLP,UK61361925,GB,agent,2022-08-11,"Unit 1, Industrial Zone, GB",info196@cpty196.com,+45 446 5850,5e0ddd6036c7b5b3
CPTY00197,Copperfield Commodities Pte Ltd,CA142525,CA,buyer,2023-03-29,"Unit 9, Commerce Blvd, CA",info197@cpty197.com,+82 737 1676,017a704355c68bd6
CPTY00198,Ironwood Distribution LLP,UK34258793,GB,buyer,2020-09-17,"Unit 3, Free Trade Ave, GB",info198@cpty198.com,+46 765 3015,2898c73e8c9b92b2
CPTY00199,Westbrook Supplies Co,,BR,supplier,2024-04-06,"Unit 37, Commerce Blvd, BR",info199@cpty199.com,+97 826 8618,8bdf9f3fb159df20
CPTY00200,Larkspur Freight GmbH,PT632918,PT,supplier,2020-12-18,"Unit 42, Free Trade Ave, PT",info200@cpty200.com,+9 621 5749,13a49941d8b411fc
CPTY00201,Coldwell Distribution Inc,,JP,supplier,2023-11-04,"Unit 16, Harbour Rd, JP",info201@cpty201.com,+62 864 4179,48168d48725fa151
CPTY00202,Vantage Exports LLC,IE974027,IE,supplier,2023-02-19,"Unit 13, Free Trade Ave, IE",info202@cpty202.com,+53 710 7777,d2ff14d4c404df0f
CPTY00203,Stonebridge Exports Sdn Bhd,,PT,supplier,2020-09-01,"Unit 10, Free Trade Ave, PT",info203@cpty203.com,+76 402 9983,7395080ed1d7697c
CPTY00204,Fenwick Overseas GmbH,NL599729,NL,supplier,2023-06-12,"Unit 11, Commerce Blvd, NL",info204@cpty204.com,+1 542 6478,19e5d6f33767b297
CPTY00205,Stonebridge Freight FZE,SG521067,SG,buyer,2020-12-07,"Unit 44, Free Trade Ave, SG",info205@cpty205.com,+7 505 6362,ac89fcd495436f38
CPTY00206,Vantage Logistics Pte Ltd,,ES,supplier,2022-11-06,"Unit 40, Harbour Rd, ES",info206@cpty206.com,+60 207 3497,e8b086fafecc63ac
CPTY00207,Copperfield Textiles SA,,IT,buyer,2024-07-24,"Unit 28, Commerce Blvd, IT",info207@cpty207.com,+24 675 3958,5ce3774d2cb9bc10
CPTY00208,Oakbridge Supplies SA,ES396806,ES,buyer,2024-07-12,"Unit 27, Harbour Rd, ES",info208@cpty208.com,+57 757 8174,0dcc85348c390b25
CPTY00209,Kestrel Manufacturing LLC,FR549465,FR,buyer,2024-02-21,"Unit 21, Industrial Zone, FR",info209@cpty209.com,+19 912 2491,d6e0c0acab903f4d
CPTY00210,Blue Anchor Global Inc,EG583693,EG,buyer,2022-05-07,"Unit 18, Industrial Zone, EG",info210@cpty210.com,+3 140 2809,295c2fd5cc6078ab
CPTY00211,Crestline Commodities FZE,,FR,supplier,2022-08-29,"Unit 48, Harbour Rd, FR",info211@cpty211.com,+86 286 7240,046923b47a7eee89
CPTY00212,Vantage Commodities Pte Ltd,,MY,buyer,2021-06-05,"Unit 42, Commerce Blvd, MY",info212@cpty212.com,+42 135 4996,f74647dea43ec50c
CPTY00213,Fenwick Logistics Co,,AU,buyer,2024-05-17,"Unit 5, Industrial Zone, AU",info213@cpty213.com,+3 528 6027,2f19a1d1ac2c564f
CPTY00214,Larkspur Group FZE,KR854062,KR,buyer,2022-04-08,"Unit 5, Industrial Zone, KR",info214@cpty214.com,+52 353 7898,50b17f10e2e9de73
CPTY00215,Larkspur Holdings FZE,ZA910249,ZA,supplier,2023-09-01,"Unit 6, Industrial Zone, ZA",info215@cpty215.com,+59 329 4911,1677bbf5fce33176
CPTY00216,Stonebridge Freight Inc,IT861369,IT,buyer,2021-09-16,"Unit 31, Free Trade Ave, IT",info216@cpty216.com,+11 930 7776,c376405f730bd1fc
CPTY00217,Brightwater Holdings FZE,KR781613,KR,supplier,2023-07-09,"Unit 44, Harbour Rd, KR",info217@cpty217.com,+29 706 7111,15ef7f59e8201420
CPTY00218,Vantage Commodities FZE,BR521527,SG,supplier,2021-01-24,"Level 3, Marina Commercial Tower, SG",info218@cpty218.com,+60 148 8905,7ae5d5f7340ad976
CPTY00219,Redwood Freight FZE,ES727545,ES,buyer,2023-06-27,"Unit 3, Harbour Rd, ES",info219@cpty219.com,+94 975 9825,e368062b315d4081
CPTY00220,Larkspur Manufacturing Inc,TH471386,SG,supplier,2020-03-20,"Level 3, Marina Commercial Tower, SG",info220@cpty220.com,+92 764 1511,7ae5d5f7340ad976
CPTY00221,Larkspur Logistics LLC,CN780507,CN,buyer,2020-06-30,"Unit 25, Industrial Zone, CN",info221@cpty221.com,+46 320 2979,9e59d32a4804acd2
CPTY00222,Coldwell Exports FZE,,MY,buyer,2021-09-03,"Unit 34, Harbour Rd, MY",info222@cpty222.com,+82 830 5698,8c437f3da4d22896
CPTY00223,Falcon Manufacturing SA,ES854311,ES,supplier,2022-04-16,"Unit 29, Industrial Zone, ES",info223@cpty223.com,+73 216 2997,2430914f350ec93d
CPTY00224,Northfield Holdings FZE,IN144166,IN,supplier,2023-05-20,"Unit 42, Harbour Rd, IN",info224@cpty224.com,+85 505 5919,147ee2def304e658
CPTY00225,Ironwood Imports Inc,JP410750,JP,buyer,2021-09-15,"Unit 33, Harbour Rd, JP",info225@cpty225.com,+46 281 8436,d932580b67b5e565
CPTY00226,Kestrel Overseas Pte Ltd,KR748193,KR,supplier,2020-02-02,"Unit 14, Commerce Blvd, KR",info226@cpty226.com,+75 714 4178,60f990551b401925
CPTY00227,Amber Logistics FZE,JP952027,JP,buyer,2021-07-18,"Unit 27, Industrial Zone, JP",info227@cpty227.com,+64 956 6847,1b726fdca063c56d
CPTY00228,Oakbridge Exports Pte Ltd,,IN,supplier,2022-02-01,"Unit 30, Industrial Zone, IN",info228@cpty228.com,+49 343 5704,da8c7209534211d5
CPTY00229,Vantage Industries FZE,TH345840,TH,supplier,2022-08-01,"Unit 48, Commerce Blvd, TH",info229@cpty229.com,+37 649 1410,fdc752f99592f848
CPTY00230,Sable Group FZE,ES397901,ES,supplier,2023-01-23,"Unit 5, Free Trade Ave, ES",info230@cpty230.com,+19 807 4426,947f0aa30119e834
CPTY00231,Redwood Logistics Pte Ltd,,CA,supplier,2021-03-05,"Unit 30, Industrial Zone, CA",info231@cpty231.com,+43 588 4943,7e6907498f0b0f5e
CPTY00232,Amber Textiles Ltd,UK76061489,GB,buyer,2022-11-25,"Unit 45, Commerce Blvd, GB",info232@cpty232.com,+75 320 7825,9a38bf8451825646
CPTY00233,Ironwood Industries Pte Ltd,NG964722,NG,supplier,2023-01-01,"Unit 29, Free Trade Ave, NG",info233@cpty233.com,+21 433 6289,aa1e11ee2d334c26
CPTY00234,Rosewood Freight Co,BR404731,BR,supplier,2023-09-10,"Unit 42, Commerce Blvd, BR",info234@cpty234.com,+87 309 6285,e8b1a7ad69d55005
CPTY00235,Harborview Manufacturing Inc,JP432963,JP,supplier,2022-06-25,"Unit 26, Free Trade Ave, JP",info235@cpty235.com,+7 167 7906,53ec9129f71fb873
CPTY00236,Ashford Supplies Pte Ltd,,SA,buyer,2023-11-08,"Unit 19, Commerce Blvd, SA",info236@cpty236.com,+71 438 6606,503845453142c341
CPTY00237,Brightwater Distribution SA,,AE,buyer,2021-01-19,"Unit 8, Industrial Zone, AE",info237@cpty237.com,+38 349 4881,250b0e5caff83375
CPTY00238,Meridian Supplies GmbH,PT436044,PT,buyer,2023-05-20,"Unit 19, Harbour Rd, PT",info238@cpty238.com,+31 832 4704,003894050fc90968
CPTY00239,Elmsworth Exports GmbH,,DE,buyer,2020-03-20,"Unit 47, Industrial Zone, DE",info239@cpty239.com,+32 582 7821,2ccfd2d9d3acb192
CPTY00240,Ironwood Supplies Inc,,GH,buyer,2020-06-27,"Unit 2, Commerce Blvd, GH",info240@cpty240.com,+27 944 5171,bed48bf8b15e6cbd
CPTY00241,Sable Exports Inc,PT852746,PT,buyer,2024-02-10,"Unit 38, Commerce Blvd, PT",info241@cpty241.com,+65 960 4884,c3620427ec88475f
CPTY00242,Amber Imports Inc,,GH,supplier,2022-04-04,"Unit 40, Commerce Blvd, GH",info242@cpty242.com,+20 772 1059,56c1039a8d893ab4
CPTY00243,Blue Anchor Industries LLC,MY647793,MY,buyer,2022-12-13,"Unit 10, Free Trade Ave, MY",info243@cpty243.com,+45 981 4729,275e77a552fc6f9f
CPTY00244,Marlow Exports Sdn Bhd,,EG,supplier,2022-11-13,"Unit 48, Commerce Blvd, EG",info244@cpty244.com,+68 572 2931,3f9d09f9f19fdb08
CPTY00245,Brightwater Exports Sdn Bhd,MY683895,MY,buyer,2023-04-21,"Unit 26, Commerce Blvd, MY",info245@cpty245.com,+32 570 1938,4dc2f0e27402333e
CPTY00246,Sable Holdings Co (2),TH141271,TH,supplier,2020-07-02,"Unit 5, Harbour Rd, TH",info55@cpty55.com,+85 935 2100,e41c0bfaab1ef420
CPTY00247,Harborview Supplies GmbH (2),,SG,buyer,2022-08-25,"Unit 32, Free Trade Ave, SG",info29@cpty29.com,+2 825 5587,7799c52f367a168c
CPTY00248,Westbrook Supplies Co (2),,BR,supplier,2024-04-06,"Unit 37, Commerce Blvd, BR",info199@cpty199.com,+97 826 8618,8bdf9f3fb159df20
CPTY00249,Fenwick Logistics Pte Limited,,DE,supplier,2023-06-06,"Unit 4, Commerce Blvd, DE",info9@cpty9.com,+53 801 6780,65caad21d107174f
CPTY00250,Redwood Freight FZE (2),ES727545,ES,buyer,2023-06-27,"Unit 3, Harbour Rd, ES",info219@cpty219.com,+94 975 9825,e368062b315d4081
CPTY00251,Ironwood Commodities Co (2),US593445,US,supplier,2021-10-26,"Unit 14, Commerce Blvd, US",info183@cpty183.com,+98 355 2455,aacb7824f7edc7dc
CPTY00252,Rosewood Freight L.L.C.,IT409585,IT,buyer,2024-04-21,"Unit 7, Free Trade Ave, IT",info72@cpty72.com,+70 777 5414,0fb289d9c3d9bd47
CPTY00253,Ashford Logistics Co (2),,PL,supplier,2021-12-17,"Unit 15, Free Trade Ave, PL",info133@cpty133.com,+86 261 2492,95c4803760fd8c56
CPTY00254,Vantage Textiles Sdn Bhd (2),,DE,buyer,2021-08-14,"Unit 48, Free Trade Ave, DE",info97@cpty97.com,+71 842 7839,005f7b9bdc3c7386
CPTY00255,Northfield Holdings FZE (2),IN144166,IN,supplier,2023-05-20,"Unit 42, Harbour Rd, IN",info224@cpty224.com,+85 505 5919,147ee2def304e658
CPTY00256,Coldwell Imports SA (2),,VN,buyer,2021-08-08,"Unit 22, Industrial Zone, VN",info195@cpty195.com,+53 619 9413,153936352202449f
CPTY00257,Ashford Supplies Pte Limited,,SA,buyer,2023-11-08,"Unit 19, Commerce Blvd, SA",info236@cpty236.com,+71 438 6606,503845453142c341
CPTY00258,Silverline Supplies Inc (2),FR378479,FR,supplier,2023-08-11,"Unit 11, Harbour Rd, FR",info152@cpty152.com,+66 468 4855,1c288b384dd6683a
CPTY00259,Sable Imports Co (2),BR642168,BR,supplier,2022-07-03,"Unit 18, Industrial Zone, BR",info96@cpty96.com,+38 278 7417,70b58b01de80516c
CPTY00260,Oakbridge Commodities Co (2),NL363080,NL,buyer,2020-11-03,"Unit 9, Harbour Rd, NL",info155@cpty155.com,+14 243 4540,baf7662455dba6a4
